job_title,company,city,job_type,experience_level,min_experience_years,salary_pkr_k,required_skills,education,job_description,benefits,date_posted,company_tier,is_ai_ml_role
Data Scientist,Netsol,Rawalpindi,Contract,Mid,4.0,245,"SQL, Flask, Python, LLMs, PostgreSQL, Statistics, Machine Learning, Data Visualization",Bachelors,"We are hiring a Data Scientist to join our team. 
        Required skills: SQL, Flask, Python, LLMs, PostgreSQL, Statistics, Machine Learning, Data Visualization.
        Experience required: 4.0+ years.
        This is a Freelance position.
        Education: Masters preferred.","Medical Coverage, Transport Allowance",2024-04-23,MNC,True
Junior NLP Engineer,10Pearls,Hybrid (Islamabad),Contract,Junior,1.3,230,"Hugging Face, Kubernetes, TensorFlow, PyTorch, NLP, Python, LLMs, MongoDB",PhD,"We are hiring a Junior NLP Engineer to join our team. 
        Required skills: Hugging Face, Kubernetes, TensorFlow, PyTorch, NLP, Python, LLMs, MongoDB.
        Experience required: 1.3+ years.
        This is a Contract position.
        Education: Masters preferred.","Flexible Hours, Professional Development, Performance Bonus, Medical Coverage",2024-11-09,MNC,True
Lead Data Analyst,Folio3,Rawalpindi,Full-time,Senior,5.9,280,"Kubernetes, SQL, Power BI, PyTorch, Excel, Python, Git, Data Visualization",Masters,"We are hiring a Lead Data Analyst to join our team. 
        Required skills: Kubernetes, SQL, Power BI, PyTorch, Excel, Python, Git, Data Visualization.
        Experience required: 5.9+ years.
        This is a Full-time position.
        Education: PhD preferred.","Medical Coverage, Transport Allowance, Remote Work",2025-02-20,Tier1,False
Data Analyst,Systems Ltd,Rawalpindi,Contract,Junior,0.5,225,"Kubernetes, Node.js, SQL, Flask, Power BI, Excel, Python, Data Visualization",Bachelors,"We are hiring a Data Analyst to join our team. 
        Required skills: Kubernetes, Node.js, SQL, Flask, Power BI, Excel, Python, Data Visualization.
        Experience required: 0.5+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Health Insurance, Flexible Hours, Professional Development",2024-01-25,MNC,False
Business Intelligence Developer,Netsol,Remote,Freelance,Senior,7.0,315,"ETL, SQL, Power BI, Data Warehouse, Excel, React, PostgreSQL, BERT",Not Specified,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, SQL, Power BI, Data Warehouse, Excel, React, PostgreSQL, BERT.
        Experience required: 7.0+ years.
        This is a Full-time position.
        Education: Masters preferred.","Food Allowance, Remote Work, Performance Bonus, Transport Allowance",2024-11-06,MNC,False
Junior Machine Learning Engineer,Arbisoft,Hybrid (Islamabad),Contract,Junior,1.8,215,"AWS, TensorFlow, PyTorch, Python, LLMs, Docker, MLOps, BERT",Not Specified,"We are hiring a Junior Machine Learning Engineer to join our team. 
        Required skills: AWS, TensorFlow, PyTorch, Python, LLMs, Docker, MLOps, BERT.
        Experience required: 1.8+ years.
        This is a Contract position.
        Education: PhD preferred.","Professional Development, Transport Allowance, Remote Work, Flexible Hours",2024-04-26,Tier1,True
Senior AI Research Engineer,Systems Ltd,Islamabad,Full-time,Junior,0.1,280,"TensorFlow, PyTorch, MLflow, Deep Learning, Git, React, MongoDB, BERT",Bachelors,"We are hiring a Senior AI Research Engineer to join our team. 
        Required skills: TensorFlow, PyTorch, MLflow, Deep Learning, Git, React, MongoDB, BERT.
        Experience required: 0.1+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Transport Allowance, Medical Coverage",2025-03-25,MNC,True
Lead DevOps Engineer,10Pearls,Multan,Contract,Mid,4.7,435,"Kubernetes, AWS, FastAPI, MLflow, CI/CD, Docker, Linux, Git",Masters,"We are hiring a Lead DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, FastAPI, MLflow, CI/CD, Docker, Linux, Git.
        Experience required: 4.7+ years.
        This is a Full-time position.
        Education: PhD preferred.","Performance Bonus, Remote Work, Professional Development, Medical Coverage",2024-01-15,MNC,False
Data Analyst,Contour,Multan,Freelance,Junior,0.8,180,"TensorFlow, SQL, Flask, Power BI, Excel, Python, React, Data Visualization",Masters,"We are hiring a Data Analyst to join our team. 
        Required skills: TensorFlow, SQL, Flask, Power BI, Excel, Python, React, Data Visualization.
        Experience required: 0.8+ years.
        This is a Contract position.
        Education: PhD preferred.","Professional Development, Stock Options, Remote Work, Health Insurance, Transport Allowance",2024-08-14,Tier2,False
NLP Engineer,Techlogix,Hybrid (Lahore),Contract,Mid,3.2,440,"Hugging Face, Node.js, PyTorch, NLP, Python, LLMs, BERT",Masters,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, Node.js, PyTorch, NLP, Python, LLMs, BERT.
        Experience required: 3.2+ years.
        This is a Full-time position.
        Education: PhD preferred.","Transport Allowance, Medical Coverage, Remote Work",2025-02-11,Tier1,True
Data Analyst,Folio3,Hybrid (Islamabad),Contract,Junior,1.9,210,"Kubernetes, SQL, Power BI, MLflow, Python, Excel, Airflow, Data Visualization",Bachelors,"We are hiring a Data Analyst to join our team. 
        Required skills: Kubernetes, SQL, Power BI, MLflow, Python, Excel, Airflow, Data Visualization.
        Experience required: 1.9+ years.
        This is a Contract position.
        Education: Masters preferred.","Stock Options, Remote Work",2024-05-17,Tier1,False
Senior Business Intelligence Developer,Folio3,Multan,Contract,Senior,7.4,430,"ETL, Node.js, SQL, Flask, Power BI, Data Warehouse, Excel, Docker",Masters,"We are hiring a Senior Business Intelligence Developer to join our team. 
        Required skills: ETL, Node.js, SQL, Flask, Power BI, Data Warehouse, Excel, Docker.
        Experience required: 7.4+ years.
        This is a Contract position.
        Education: Masters preferred.","Health Insurance, Flexible Hours, Annual Bonus, Performance Bonus, Remote Work",2024-05-24,Tier1,False
NLP Engineer,Netsol,Hybrid (Islamabad),Full-time,Mid,2.1,340,"Hugging Face, PyTorch, NLP, Python, LLMs, Git, BERT",Masters,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, PyTorch, NLP, Python, LLMs, Git, BERT.
        Experience required: 2.1+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Medical Coverage, Performance Bonus",2024-01-29,MNC,True
DevOps Engineer,Systems Ltd,Hybrid (Islamabad),Freelance,Mid,2.8,280,"Kubernetes, AWS, FastAPI, CI/CD, Docker, Linux, React, Airflow",Bachelors,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, FastAPI, CI/CD, Docker, Linux, React, Airflow.
        Experience required: 2.8+ years.
        This is a Freelance position.
        Education: Masters preferred.","Transport Allowance, Professional Development, Food Allowance, Annual Bonus, Performance Bonus",2024-09-23,MNC,False
Machine Learning Engineer,Techlogix,Hybrid (Lahore),Contract,Senior,7.6,410,"FastAPI, TensorFlow, PyTorch, MLflow, Python, Docker, MongoDB, MLOps",Masters,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: FastAPI, TensorFlow, PyTorch, MLflow, Python, Docker, MongoDB, MLOps.
        Experience required: 7.6+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Flexible Hours, Health Insurance, Medical Coverage, Professional Development, Food Allowance",2024-03-26,Tier1,True
NLP Engineer,10Pearls,Lahore,Freelance,Junior,1.8,305,"Hugging Face, AWS, PyTorch, MLflow, NLP, Python, LLMs, PostgreSQL",Masters,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, AWS, PyTorch, MLflow, NLP, Python, LLMs, PostgreSQL.
        Experience required: 1.8+ years.
        This is a Full-time position.
        Education: Masters preferred.","Flexible Hours, Food Allowance, Medical Coverage, Transport Allowance, Remote Work",2024-10-01,MNC,True
Data Scientist,Netsol,Hybrid (Islamabad),Freelance,Junior,1.1,360,"Kubernetes, TensorFlow, SQL, Python, React, Statistics, Machine Learning, Data Visualization",Masters,"We are hiring a Data Scientist to join our team. 
        Required skills: Kubernetes, TensorFlow, SQL, Python, React, Statistics, Machine Learning, Data Visualization.
        Experience required: 1.1+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Remote Work, Medical Coverage, Stock Options, Health Insurance",2024-06-27,MNC,True
Business Intelligence Developer,Netsol,Hybrid (Lahore),Full-time,Junior,0.0,160,"ETL, Kubernetes, SQL, Power BI, Data Warehouse, Excel, Docker, BERT",Not Specified,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, Kubernetes, SQL, Power BI, Data Warehouse, Excel, Docker, BERT.
        Experience required: 0.0+ years.
        This is a Full-time position.
        Education: PhD preferred.","Medical Coverage, Transport Allowance",2024-11-13,MNC,False
Data Analyst,Netsol,Multan,Contract,Senior,8.0,355,"AWS, SQL, Power BI, Excel, Python, Git, BERT, Data Visualization",Not Specified,"We are hiring a Data Analyst to join our team. 
        Required skills: AWS, SQL, Power BI, Excel, Python, Git, BERT, Data Visualization.
        Experience required: 8.0+ years.
        This is a Full-time position.
        Education: Bachelors preferred.","Flexible Hours, Annual Bonus, Health Insurance, Professional Development, Food Allowance",2024-01-17,MNC,False
DevOps Engineer,Techlogix,Karachi,Full-time,Junior,1.8,275,"Kubernetes, AWS, FastAPI, LLMs, CI/CD, Docker, Linux, Git",PhD,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, FastAPI, LLMs, CI/CD, Docker, Linux, Git.
        Experience required: 1.8+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Health Insurance, Professional Development, Remote Work, Food Allowance",2024-07-03,Tier1,False
Machine Learning Engineer,Arbisoft,Hybrid (Karachi),Freelance,Mid,2.1,310,"TensorFlow, Flask, PyTorch, MLflow, Python, React, MongoDB, MLOps",Not Specified,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: TensorFlow, Flask, PyTorch, MLflow, Python, React, MongoDB, MLOps.
        Experience required: 2.1+ years.
        This is a Full-time position.
        Education: Not Specified preferred.","Remote Work, Food Allowance",2024-11-16,Tier1,True
AI Research Engineer,Systems Ltd,Lahore,Full-time,Junior,1.2,320,"TensorFlow, MLflow, PyTorch, Python, Deep Learning, PostgreSQL, BERT",Not Specified,"We are hiring a AI Research Engineer to join our team. 
        Required skills: TensorFlow, MLflow, PyTorch, Python, Deep Learning, PostgreSQL, BERT.
        Experience required: 1.2+ years.
        This is a Contract position.
        Education: PhD preferred.","Transport Allowance, Food Allowance, Flexible Hours, Professional Development, Remote Work",2024-10-08,MNC,True
DevOps Engineer,Netsol,Remote,Freelance,Junior,0.7,285,"Kubernetes, AWS, Flask, CI/CD, Docker, Linux, Git",PhD,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, Flask, CI/CD, Docker, Linux, Git.
        Experience required: 0.7+ years.
        This is a Full-time position.
        Education: PhD preferred.","Flexible Hours, Food Allowance, Health Insurance",2024-06-03,MNC,False
Data Analyst,Systems Ltd,Lahore,Full-time,Mid,3.4,290,"Node.js, FastAPI, SQL, Power BI, Python, Excel, React, Data Visualization",Not Specified,"We are hiring a Data Analyst to join our team. 
        Required skills: Node.js, FastAPI, SQL, Power BI, Python, Excel, React, Data Visualization.
        Experience required: 3.4+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Annual Bonus, Food Allowance, Performance Bonus",2024-02-17,MNC,False
Machine Learning Engineer,Netsol,Multan,Contract,Mid,2.6,250,"TensorFlow, MLflow, Python, Docker, PostgreSQL, MongoDB, MLOps, BERT",Bachelors,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: TensorFlow, MLflow, Python, Docker, PostgreSQL, MongoDB, MLOps, BERT.
        Experience required: 2.6+ years.
        This is a Full-time position.
        Education: Masters preferred.","Transport Allowance, Health Insurance",2025-03-20,MNC,True
NLP Engineer,10Pearls,Faisalabad,Full-time,Mid,2.2,405,"Hugging Face, Kubernetes, PyTorch, NLP, Python, LLMs",Not Specified,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, Kubernetes, PyTorch, NLP, Python, LLMs.
        Experience required: 2.2+ years.
        This is a Full-time position.
        Education: Not Specified preferred.","Transport Allowance, Stock Options, Medical Coverage, Performance Bonus",2024-02-16,MNC,True
Data Scientist,10Pearls,Faisalabad,Contract,Mid,4.3,260,"Node.js, FastAPI, SQL, Flask, Python, Statistics, Machine Learning, Data Visualization",PhD,"We are hiring a Data Scientist to join our team. 
        Required skills: Node.js, FastAPI, SQL, Flask, Python, Statistics, Machine Learning, Data Visualization.
        Experience required: 4.3+ years.
        This is a Freelance position.
        Education: Masters preferred.","Flexible Hours, Annual Bonus, Professional Development",2024-07-21,MNC,True
Machine Learning Engineer,Techlogix,Lahore,Full-time,Mid,3.5,450,"Node.js, TensorFlow, PyTorch, Python, LLMs, Docker, MLOps",PhD,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: Node.js, TensorFlow, PyTorch, Python, LLMs, Docker, MLOps.
        Experience required: 3.5+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Performance Bonus, Health Insurance, Flexible Hours",2024-06-28,Tier1,True
Data Analyst,Systems Ltd,Lahore,Freelance,Junior,1.6,250,"AWS, SQL, MLflow, Python, Excel, LLMs, Airflow, Data Visualization",PhD,"We are hiring a Data Analyst to join our team. 
        Required skills: AWS, SQL, MLflow, Python, Excel, LLMs, Airflow, Data Visualization.
        Experience required: 1.6+ years.
        This is a Full-time position.
        Education: PhD preferred.","Medical Coverage, Flexible Hours, Remote Work",2024-08-29,MNC,False
Business Intelligence Developer,Techlogix,Multan,Freelance,Junior,1.2,165,"AWS, Node.js, SQL, Power BI, Data Warehouse, Excel, LLMs, React",PhD,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: AWS, Node.js, SQL, Power BI, Data Warehouse, Excel, LLMs, React.
        Experience required: 1.2+ years.
        This is a Full-time position.
        Education: Not Specified preferred.","Annual Bonus, Transport Allowance",2024-05-18,Tier1,False
NLP Engineer,Systems Ltd,Lahore,Freelance,Senior,5.7,660,"Hugging Face, Kubernetes, TensorFlow, PyTorch, NLP, Python, LLMs, BERT",PhD,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, Kubernetes, TensorFlow, PyTorch, NLP, Python, LLMs, BERT.
        Experience required: 5.7+ years.
        This is a Full-time position.
        Education: Not Specified preferred.","Health Insurance, Flexible Hours",2024-04-05,MNC,True
NLP Engineer,Techlogix,Rawalpindi,Contract,Junior,1.1,460,"Hugging Face, Kubernetes, Flask, PyTorch, NLP, Python, LLMs, React",Not Specified,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, Kubernetes, Flask, PyTorch, NLP, Python, LLMs, React.
        Experience required: 1.1+ years.
        This is a Freelance position.
        Education: PhD preferred.","Health Insurance, Medical Coverage, Professional Development, Annual Bonus, Transport Allowance",2024-02-01,Tier1,True
Data Analyst,Folio3,Lahore,Full-time,Senior,8.3,400,"Node.js, Kubernetes, SQL, Power BI, Python, Excel, BERT, Data Visualization",PhD,"We are hiring a Data Analyst to join our team. 
        Required skills: Node.js, Kubernetes, SQL, Power BI, Python, Excel, BERT, Data Visualization.
        Experience required: 8.3+ years.
        This is a Full-time position.
        Education: Masters preferred.","Remote Work, Medical Coverage, Flexible Hours",2024-10-04,Tier1,False
Data Analyst,Techlogix,Hybrid (Islamabad),Full-time,Junior,1.0,180,"SQL, Power BI, MLflow, Python, Excel, Git, BERT, Data Visualization",Masters,"We are hiring a Data Analyst to join our team. 
        Required skills: SQL, Power BI, MLflow, Python, Excel, Git, BERT, Data Visualization.
        Experience required: 1.0+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Professional Development, Performance Bonus, Remote Work, Annual Bonus, Transport Allowance",2025-01-26,Tier1,False
Data Analyst,Contour,Karachi,Full-time,Senior,5.2,340,"AWS, SQL, Power BI, Python, Excel, Docker, PostgreSQL, Data Visualization",Masters,"We are hiring a Data Analyst to join our team. 
        Required skills: AWS, SQL, Power BI, Python, Excel, Docker, PostgreSQL, Data Visualization.
        Experience required: 5.2+ years.
        This is a Full-time position.
        Education: Not Specified preferred.","Stock Options, Transport Allowance, Performance Bonus, Flexible Hours",2024-09-01,Tier2,False
Full Stack Developer,Systems Ltd,Hybrid (Karachi),Full-time,Junior,1.1,260,"Node.js, AWS, SQL, JavaScript, Python, React, Git, MongoDB",Not Specified,"We are hiring a Full Stack Developer to join our team. 
        Required skills: Node.js, AWS, SQL, JavaScript, Python, React, Git, MongoDB.
        Experience required: 1.1+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Performance Bonus, Flexible Hours, Transport Allowance, Medical Coverage",2024-08-12,MNC,False
NLP Engineer,Systems Ltd,Hybrid (Islamabad),Contract,Mid,2.9,600,"Hugging Face, PyTorch, NLP, Python, LLMs, Docker, Airflow",PhD,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, PyTorch, NLP, Python, LLMs, Docker, Airflow.
        Experience required: 2.9+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Professional Development, Performance Bonus, Transport Allowance",2024-09-21,MNC,True
Business Intelligence Developer,Folio3,Islamabad,Contract,Senior,7.4,430,"ETL, AWS, SQL, Power BI, PyTorch, Data Warehouse, Excel, Airflow",Masters,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, AWS, SQL, Power BI, PyTorch, Data Warehouse, Excel, Airflow.
        Experience required: 7.4+ years.
        This is a Freelance position.
        Education: Masters preferred.","Transport Allowance, Food Allowance, Performance Bonus, Health Insurance, Annual Bonus",2024-04-02,Tier1,False
Business Intelligence Developer,Netsol,Lahore,Contract,Mid,4.5,205,"ETL, AWS, SQL, Flask, Power BI, Data Warehouse, Excel, Airflow",Masters,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, AWS, SQL, Flask, Power BI, Data Warehouse, Excel, Airflow.
        Experience required: 4.5+ years.
        This is a Freelance position.
        Education: Masters preferred.","Medical Coverage, Transport Allowance, Health Insurance, Remote Work, Annual Bonus",2025-01-07,MNC,False
Data Analyst,Techlogix,Islamabad,Contract,Junior,0.2,140,"Kubernetes, AWS, Power BI, MLflow, Excel, Python, Git, Data Visualization",Bachelors,"We are hiring a Data Analyst to join our team. 
        Required skills: Kubernetes, AWS, Power BI, MLflow, Excel, Python, Git, Data Visualization.
        Experience required: 0.2+ years.
        This is a Full-time position.
        Education: PhD preferred.","Performance Bonus, Remote Work",2024-04-13,Tier1,False
Business Intelligence Developer,Techlogix,Hybrid (Karachi),Full-time,Mid,4.2,185,"ETL, SQL, Flask, Power BI, Data Warehouse, Excel, Docker, React",PhD,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, SQL, Flask, Power BI, Data Warehouse, Excel, Docker, React.
        Experience required: 4.2+ years.
        This is a Freelance position.
        Education: Masters preferred.","Stock Options, Remote Work",2024-11-17,Tier1,False
Data Scientist,Systems Ltd,Islamabad,Contract,Mid,4.4,365,"SQL, Python, React, Git, Statistics, Machine Learning, MongoDB, Data Visualization",PhD,"We are hiring a Data Scientist to join our team. 
        Required skills: SQL, Python, React, Git, Statistics, Machine Learning, MongoDB, Data Visualization.
        Experience required: 4.4+ years.
        This is a Freelance position.
        Education: Masters preferred.","Remote Work, Food Allowance, Health Insurance, Performance Bonus, Stock Options",2024-05-25,MNC,True
AI Research Engineer,Techlogix,Lahore,Full-time,Senior,8.1,495,"TensorFlow, Flask, PyTorch, MLflow, Python, Deep Learning, PostgreSQL, BERT",Not Specified,"We are hiring a AI Research Engineer to join our team. 
        Required skills: TensorFlow, Flask, PyTorch, MLflow, Python, Deep Learning, PostgreSQL, BERT.
        Experience required: 8.1+ years.
        This is a Freelance position.
        Education: Masters preferred.","Annual Bonus, Medical Coverage",2024-04-17,Tier1,True
DevOps Engineer,Arbisoft,Hybrid (Islamabad),Contract,Senior,5.1,485,"Kubernetes, AWS, TensorFlow, LLMs, CI/CD, Docker, Linux, Git",Bachelors,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, TensorFlow, LLMs, CI/CD, Docker, Linux, Git.
        Experience required: 5.1+ years.
        This is a Freelance position.
        Education: PhD preferred.","Health Insurance, Annual Bonus, Remote Work",2024-04-29,Tier1,False
Full Stack Developer,10Pearls,Multan,Contract,Senior,9.0,535,"Node.js, SQL, JavaScript, Python, React, Airflow, MongoDB",Bachelors,"We are hiring a Full Stack Developer to join our team. 
        Required skills: Node.js, SQL, JavaScript, Python, React, Airflow, MongoDB.
        Experience required: 9.0+ years.
        This is a Contract position.
        Education: PhD preferred.","Health Insurance, Annual Bonus, Food Allowance, Stock Options",2024-02-04,MNC,False
Data Analyst,Netsol,Hybrid (Karachi),Freelance,Senior,7.0,310,"Node.js, FastAPI, SQL, Power BI, MLflow, Excel, Python, Data Visualization",PhD,"We are hiring a Data Analyst to join our team. 
        Required skills: Node.js, FastAPI, SQL, Power BI, MLflow, Excel, Python, Data Visualization.
        Experience required: 7.0+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Health Insurance, Medical Coverage, Professional Development, Performance Bonus, Food Allowance",2024-10-01,MNC,False
Data Scientist,Folio3,Hybrid (Karachi),Freelance,Senior,9.9,650,"TensorFlow, SQL, MLflow, Python, Statistics, Machine Learning, MongoDB, Data Visualization",PhD,"We are hiring a Data Scientist to join our team. 
        Required skills: TensorFlow, SQL, MLflow, Python, Statistics, Machine Learning, MongoDB, Data Visualization.
        Experience required: 9.9+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Remote Work, Annual Bonus, Professional Development",2024-03-25,Tier1,True
Data Scientist,10Pearls,Hybrid (Lahore),Full-time,Mid,4.2,290,"Kubernetes, Node.js, SQL, Flask, React, Statistics, Machine Learning, Data Visualization",Not Specified,"We are hiring a Data Scientist to join our team. 
        Required skills: Kubernetes, Node.js, SQL, Flask, React, Statistics, Machine Learning, Data Visualization.
        Experience required: 4.2+ years.
        This is a Full-time position.
        Education: Masters preferred.","Performance Bonus, Medical Coverage",2024-07-10,MNC,True
Associate Data Analyst,Netsol,Hybrid (Karachi),Freelance,Mid,2.9,180,"Node.js, SQL, Power BI, Python, Excel, React, Airflow, Data Visualization",Bachelors,"We are hiring a Associate Data Analyst to join our team. 
        Required skills: Node.js, SQL, Power BI, Python, Excel, React, Airflow, Data Visualization.
        Experience required: 2.9+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Professional Development, Health Insurance",2024-12-31,MNC,False
NLP Engineer,Systems Ltd,Rawalpindi,Full-time,Junior,0.0,390,"PyTorch, NLP, Python, LLMs, React, PostgreSQL, MongoDB, BERT",PhD,"We are hiring a NLP Engineer to join our team. 
        Required skills: PyTorch, NLP, Python, LLMs, React, PostgreSQL, MongoDB, BERT.
        Experience required: 0.0+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Professional Development, Stock Options",2024-09-29,MNC,True
Machine Learning Engineer,Arbisoft,Karachi,Freelance,Mid,4.0,405,"TensorFlow, Flask, PyTorch, Python, Docker, Git, Airflow, MLOps",Not Specified,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: TensorFlow, Flask, PyTorch, Python, Docker, Git, Airflow, MLOps.
        Experience required: 4.0+ years.
        This is a Full-time position.
        Education: Masters preferred.","Professional Development, Food Allowance",2024-10-20,Tier1,True
Data Scientist,Systems Ltd,Islamabad,Freelance,Senior,5.4,455,"SQL, Python, Git, Statistics, Machine Learning, MongoDB, BERT, Data Visualization",Bachelors,"We are hiring a Data Scientist to join our team. 
        Required skills: SQL, Python, Git, Statistics, Machine Learning, MongoDB, BERT, Data Visualization.
        Experience required: 5.4+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Professional Development, Food Allowance, Flexible Hours, Medical Coverage",2024-10-30,MNC,True
Junior Business Intelligence Developer,Techlogix,Multan,Full-time,Senior,7.3,310,"ETL, FastAPI, SQL, Power BI, PyTorch, Data Warehouse, React, BERT",Not Specified,"We are hiring a Junior Business Intelligence Developer to join our team. 
        Required skills: ETL, FastAPI, SQL, Power BI, PyTorch, Data Warehouse, React, BERT.
        Experience required: 7.3+ years.
        This is a Contract position.
        Education: Masters preferred.","Food Allowance, Performance Bonus, Medical Coverage, Health Insurance",2024-07-05,Tier1,False
Machine Learning Engineer,Techlogix,Remote,Contract,Senior,6.2,670,"TensorFlow, PyTorch, Python, LLMs, Docker, Airflow, MLOps, BERT",Masters,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: TensorFlow, PyTorch, Python, LLMs, Docker, Airflow, MLOps, BERT.
        Experience required: 6.2+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Medical Coverage, Performance Bonus, Transport Allowance, Professional Development",2024-06-15,Tier1,True
Full Stack Developer,Techlogix,Faisalabad,Full-time,Mid,3.5,225,"Node.js, Kubernetes, SQL, JavaScript, Python, LLMs, React, BERT",Not Specified,"We are hiring a Full Stack Developer to join our team. 
        Required skills: Node.js, Kubernetes, SQL, JavaScript, Python, LLMs, React, BERT.
        Experience required: 3.5+ years.
        This is a Full-time position.
        Education: Masters preferred.","Remote Work, Performance Bonus",2024-12-21,Tier1,False
NLP Engineer,Systems Ltd,Faisalabad,Freelance,Junior,0.4,360,"Hugging Face, FastAPI, PyTorch, NLP, Python, LLMs, PostgreSQL",Masters,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, FastAPI, PyTorch, NLP, Python, LLMs, PostgreSQL.
        Experience required: 0.4+ years.
        This is a Full-time position.
        Education: Masters preferred.","Remote Work, Health Insurance, Stock Options",2024-02-01,MNC,True
Business Intelligence Developer,Netsol,Faisalabad,Freelance,Junior,1.9,300,"ETL, Kubernetes, TensorFlow, SQL, Power BI, Data Warehouse, Excel, LLMs",Not Specified,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, Kubernetes, TensorFlow, SQL, Power BI, Data Warehouse, Excel, LLMs.
        Experience required: 1.9+ years.
        This is a Contract position.
        Education: PhD preferred.","Remote Work, Health Insurance",2024-06-04,MNC,False
Data Analyst,Systems Ltd,Hybrid (Lahore),Freelance,Senior,5.9,285,"Kubernetes, SQL, Power BI, Excel, Python, Docker, BERT, Data Visualization",Masters,"We are hiring a Data Analyst to join our team. 
        Required skills: Kubernetes, SQL, Power BI, Excel, Python, Docker, BERT, Data Visualization.
        Experience required: 5.9+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Transport Allowance, Remote Work, Medical Coverage, Flexible Hours",2024-12-25,MNC,False
Senior Data Analyst,Techlogix,Rawalpindi,Full-time,Mid,2.5,235,"Kubernetes, SQL, Power BI, MLflow, Excel, Python, BERT, Data Visualization",Masters,"We are hiring a Senior Data Analyst to join our team. 
        Required skills: Kubernetes, SQL, Power BI, MLflow, Excel, Python, BERT, Data Visualization.
        Experience required: 2.5+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Performance Bonus, Transport Allowance, Stock Options",2024-02-06,Tier1,False
AI Research Engineer,Techlogix,Rawalpindi,Freelance,Junior,1.1,405,"PyTorch, MLflow, Python, LLMs, Deep Learning, React, PostgreSQL, BERT",PhD,"We are hiring a AI Research Engineer to join our team. 
        Required skills: PyTorch, MLflow, Python, LLMs, Deep Learning, React, PostgreSQL, BERT.
        Experience required: 1.1+ years.
        This is a Full-time position.
        Education: Not Specified preferred.","Medical Coverage, Professional Development, Transport Allowance",2024-11-05,Tier1,True
Data Scientist,Folio3,Karachi,Full-time,Junior,1.8,240,"Node.js, SQL, PyTorch, Airflow, Python, Statistics, Machine Learning, Data Visualization",Not Specified,"We are hiring a Data Scientist to join our team. 
        Required skills: Node.js, SQL, PyTorch, Airflow, Python, Statistics, Machine Learning, Data Visualization.
        Experience required: 1.8+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Medical Coverage, Annual Bonus",2025-03-15,Tier1,True
